url,job_title,company,salary_min,salary_max,remote,workplace_type,location,seniority_level,commitment,apply_source
https://job-boards.greenhouse.io/fireblocks/jobs/4599435006,Digital Marketing Director,Fireblocks,140000.0,185000.0,yes,Remote,New York or United States,Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/fireblocks/jobs/4601120006,"Product Marketing Director, Banking",Fireblocks,180000.0,230000.0,no,Hybrid,New York or London or United States,Senior Level,Full Time,grnhse
https://mastercard.wd1.myworkdayjobs.com/corporatecareers/job/Purchase-New-York/Director--B2B-Marketing_R-259198,"Director, B2B Marketing",Mastercard,155000.0,248000.0,no,Hybrid,"Purchase, New York, United States",Senior Level,Full Time,workday
https://fa-evdq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/requisitions/job/9263,"Director, Portfolio Marketing",Computershare,135000.0,165000.0,no,Hybrid,Canton or New York City or Jersey City or Edison or Toronto,Senior Level,Full Time,oraclecloud
https://bullhorn.wd1.myworkdayjobs.com/bullhorncareers/job/Remote---NOAM/Director--Demand-Generation--North-America_JR708,"Director, Growth Marketing",Bullhorn,,,yes,Remote,United States,Senior Level,Full Time,workday
https://job-boards.greenhouse.io/runpod/jobs/4914376008,"Senior Director, Marketing","Runpod, Inc.",180000.0,280000.0,yes,Remote,United States,Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/calm/jobs/8150927002,"Director, Marketing Operations",Calm.com,178600.0,272800.0,yes,Remote,Los Angeles or Minneapolis or New York City or San Francisco,Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/calm/jobs/8169881002,"Sr. Director, Growth Marketing/Acquisition ",Calm.com,223200.0,341000.0,yes,Remote,Los Angeles or Minneapolis or New York City or San Francisco,Senior Level,Full Time,grnhse
https://pfizer.wd1.myworkdayjobs.com/pfizercareers/job/United-States---New-York---New-York-City/Vyndamax-US-HCP-Marketing-Director_4940665,Vyndamax US HCP Marketing Director,Pfizer,156600.0,261000.0,no,Hybrid,"New York City, New York, United States",Senior Level,Full Time,workday
http://pfizer.wd1.myworkdayjobs.com/pfizercareers/job/United-States---New-York---New-York-City/Senior-Director--Strategy---Consulting--Global-Commercial-Platforms_4940740-2,"Senior Director, Strategy & Consulting, Global Commercial Platforms",Pfizer,204700.0,341100.0,no,Hybrid,"New York City, New York, United States",Senior Level,Full Time,workday
http://ocient.hire.trakstar.com/jobs/fk0pkdo, Director of Growth Marketing ,Ocient,180000.0,180000.0,yes,Remote,United States,Senior Level,Full Time,trakstar
https://job-boards.greenhouse.io/diligentcorporation/jobs/5642788004,"Senior Director, Product Marketing",Diligent Corporation,200000.0,250000.0,no,Hybrid,"New York, New York, United States",Senior Level,Full Time,grnhse
https://job-boards.greenhouse.io/diligentcorporation/jobs/5647177004,"Director, Revenue Operations",Diligent Corporation,151000.0,207000.0,no,Hybrid,New York or Washington,No Prior Experience Required,Full Time,grnhse
https://jobs.smartrecruiters.com/NBCUniversal3/744000081738355-sr-director-marketing-strategy,"Sr. Director, Marketing Strategy",NBCUniversal,140000.0,185000.0,no,Hybrid,"New York, New York, United States",No Prior Experience Required,Full Time,smartrecruiters
https://jobs.smartrecruiters.com/NBCUniversal3/744000082083016-director-account-management,"Director, Account Management",NBCUniversal,160000.0,225000.0,no,Hybrid,"New York, New York, United States",No Prior Experience Required,Full Time,smartrecruiters
https://jobs.smartrecruiters.com/NBCUniversal3/744000081387497-senior-director-partner-growth,"Senior Director, Partner Growth",NBCUniversal,150000.0,210000.0,no,Hybrid,Universal City or New York,No Prior Experience Required,"Full Time, Contract, Temporary, Internship, Part Time, Seasonal, Volunteer",smartrecruiters
